# plot_id,DEMO-PLOT-001
# analysis_period,"['2023-07-02', '2026-07-24']"
# image_count,287
# source_list,"['Sentinel-2', 'Sentinel-1']"
# algorithm_versions,['HIST-RICE-1.0.0']
# processing_date,2026-07-24T17:37:36.678740+00:00
# provenance,DERIVED
# confidence,HIGH
# limitations,"['Historical imagery analysis is an analytical demonstration. It does not independently verify AWD compliance.', 'Overhead imagery cannot directly measure water depth below the soil surface.', 'Crop-stage, planting-window, and harvest-window results are estimates unless confirmed by field records.', 'Fertilizer application, straw management, yield, and greenhouse-gas emissions cannot be determined reliably from imagery alone.', 'Carbon results shown in the demonstration are not verified carbon credits.', 'No actual cultivation or field IoT installation has been completed for the demonstration plot.']"
# synthetic_boundary_warning,"DEMO-PLOT-001 is a synthetic demonstration boundary. It is not a cadastral, surveyed, legal, ownership, or officially verified plot boundary."
# demo_disclaimer,Historical baseline analytical demonstration; no verified AWD or carbon-credit claim.
image_id,date,sensor,status,quality,plot_coverage_percent,vegetation_score,smoothed_vegetation_score,water_candidate_fraction,cultivated_area_estimate_rai,possible_harvested_area_rai,confidence,provenance
hist-s1-2023-11-03,2023-11-03,Sentinel-1,READY,95.0,100.0,1.0,-0.151594,0.0,24.0,,HIGH,DERIVED
hist-s2-2023-11-07,2023-11-07,Sentinel-2,READY,85.0,100.0,-0.151594,-0.151594,0.937337,0.125,1.379,HIGH,DERIVED
hist-s1-2023-11-11,2023-11-11,Sentinel-1,READY,95.0,100.0,1.0,-0.151594,0.0,24.0,,HIGH,DERIVED
hist-s1-2023-11-15,2023-11-15,Sentinel-1,READY,95.0,100.0,0.059896,-0.040978,0.723958,1.438,,HIGH,DERIVED
hist-s2-2023-11-17,2023-11-17,Sentinel-2,READY,85.0,100.0,-0.040978,-0.0863515,0.0,0.187,23.75,HIGH,DERIVED
hist-s2-2023-11-22,2023-11-22,Sentinel-2,READY,85.0,100.0,-0.131725,-0.0863515,0.678851,0.188,7.52,HIGH,DERIVED
hist-s1-2023-11-27,2023-11-27,Sentinel-1,READY,95.0,100.0,0.109375,-0.0641155,0.526042,2.625,,HIGH,DERIVED
hist-s2-2023-11-27,2023-11-27,Sentinel-2,READY,85.0,100.0,0.003494,0.003494,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2023-12-05,2023-12-05,Sentinel-1,READY,95.0,100.0,1.0,0.003494,0.0,24.0,,HIGH,DERIVED
hist-s1-2023-12-09,2023-12-09,Sentinel-1,READY,95.0,100.0,0.197917,-0.034883,0.291667,4.75,,HIGH,DERIVED
hist-s2-2023-12-12,2023-12-12,Sentinel-2,READY,85.0,100.0,-0.034883,-0.034883,0.015625,0.0,23.625,HIGH,DERIVED
hist-s1-2023-12-17,2023-12-17,Sentinel-1,READY,95.0,100.0,1.0,-0.008846999999999999,0.0,24.0,,HIGH,DERIVED
hist-s2-2023-12-17,2023-12-17,Sentinel-2,READY,85.0,100.0,0.017189,0.0472545,0.0,0.0,24.0,HIGH,DERIVED
hist-s2-2023-12-22,2023-12-22,Sentinel-2,READY,85.0,100.0,0.07732,0.049403,0.0,0.0,24.0,HIGH,DERIVED
hist-s2-2023-12-27,2023-12-27,Sentinel-2,READY,85.0,100.0,0.049403,0.0633615,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2023-12-29,2023-12-29,Sentinel-1,READY,95.0,100.0,1.0,0.056865,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-01-01,2024-01-01,Sentinel-2,READY,85.0,100.0,0.064327,0.064327,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2024-01-02,2024-01-02,Sentinel-1,READY,95.0,100.0,1.0,0.148695,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-01-11,2024-01-11,Sentinel-2,READY,85.0,100.0,0.233063,0.233063,0.0,12.75,9.937,HIGH,DERIVED
hist-s1-2024-01-14,2024-01-14,Sentinel-1,READY,95.0,100.0,1.0,0.287982,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-01-16,2024-01-16,Sentinel-2,READY,85.0,100.0,0.342901,0.397683,0.0,17.312,5.813,HIGH,DERIVED
hist-s2-2024-01-21,2024-01-21,Sentinel-2,READY,85.0,100.0,0.452465,0.397683,0.0,20.125,3.563,HIGH,DERIVED
hist-s1-2024-01-22,2024-01-22,Sentinel-1,READY,95.0,100.0,1.0,0.452465,0.0,24.0,,HIGH,DERIVED
hist-s1-2024-01-26,2024-01-26,Sentinel-1,READY,95.0,100.0,1.0,0.567962,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-02-05,2024-02-05,Sentinel-2,READY,85.0,100.0,0.567962,0.567962,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2024-02-07,2024-02-07,Sentinel-1,READY,95.0,100.0,1.0,0.567962,0.0,24.0,,HIGH,DERIVED
hist-s1-2024-02-15,2024-02-15,Sentinel-1,READY,95.0,100.0,1.0,0.571532,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-02-15,2024-02-15,Sentinel-2,READY,85.0,100.0,0.571532,0.571532,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2024-02-19,2024-02-19,Sentinel-1,READY,95.0,100.0,1.0,0.581391,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-02-20,2024-02-20,Sentinel-2,READY,85.0,100.0,0.59125,0.5983795000000001,0.0,24.0,0.0,HIGH,DERIVED
hist-s2-2024-02-25,2024-02-25,Sentinel-2,READY,85.0,100.0,0.605509,0.5983795000000001,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2024-02-27,2024-02-27,Sentinel-1,READY,95.0,100.0,1.0,0.6010245,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-03-01,2024-03-01,Sentinel-2,READY,85.0,100.0,0.59654,0.59654,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2024-03-02,2024-03-02,Sentinel-1,READY,95.0,100.0,1.0,0.587812,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-03-06,2024-03-06,Sentinel-2,READY,85.0,100.0,0.579084,0.579084,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2024-03-14,2024-03-14,Sentinel-1,READY,95.0,100.0,1.0,0.5097665,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-03-21,2024-03-21,Sentinel-2,READY,85.0,100.0,0.440449,0.440449,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2024-03-22,2024-03-22,Sentinel-1,READY,95.0,100.0,1.0,0.440449,0.0,24.0,,HIGH,DERIVED
hist-s1-2024-03-26,2024-03-26,Sentinel-1,READY,95.0,100.0,1.0,0.288948,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-03-31,2024-03-31,Sentinel-2,READY,85.0,100.0,0.288948,0.288948,0.0,12.187,11.063,HIGH,DERIVED
hist-s1-2024-04-03,2024-04-03,Sentinel-1,READY,95.0,100.0,1.0,0.288948,0.0,24.0,,HIGH,DERIVED
hist-s1-2024-04-07,2024-04-07,Sentinel-1,READY,95.0,100.0,1.0,0.075146,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-04-15,2024-04-15,Sentinel-2,READY,85.0,100.0,0.075146,0.075146,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2024-04-19,2024-04-19,Sentinel-1,READY,95.0,100.0,1.0,0.0697725,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-04-20,2024-04-20,Sentinel-2,READY,85.0,100.0,0.064399,0.0741175,0.0,0.0,24.0,HIGH,DERIVED
hist-s2-2024-04-25,2024-04-25,Sentinel-2,READY,85.0,100.0,0.083836,0.0741175,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2024-04-27,2024-04-27,Sentinel-1,READY,95.0,100.0,1.0,0.0734215,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-04-30,2024-04-30,Sentinel-2,READY,85.0,100.0,0.063007,0.063007,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2024-05-01,2024-05-01,Sentinel-1,READY,95.0,100.0,1.0,0.061260999999999996,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-05-05,2024-05-05,Sentinel-2,READY,85.0,100.0,0.059515,0.059515,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2024-05-09,2024-05-09,Sentinel-1,READY,95.0,100.0,1.0,0.0735265,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-05-10,2024-05-10,Sentinel-2,READY,85.0,100.0,0.087538,0.087538,0.0,3.437,20.5,HIGH,DERIVED
hist-s1-2024-05-13,2024-05-13,Sentinel-1,READY,95.0,100.0,1.0,0.1390045,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-05-15,2024-05-15,Sentinel-2,READY,85.0,100.0,0.190471,0.190471,0.0,7.063,15.688,HIGH,DERIVED
hist-s1-2024-05-25,2024-05-25,Sentinel-1,READY,95.0,100.0,1.0,0.193024,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-05-30,2024-05-30,Sentinel-2,READY,85.0,100.0,0.195577,0.314519,0.0,2.068,14.413,HIGH,DERIVED
hist-s2-2024-06-04,2024-06-04,Sentinel-2,READY,85.0,100.0,0.433461,0.314519,0.0,22.687,0.937,HIGH,DERIVED
hist-s1-2024-06-06,2024-06-06,Sentinel-1,READY,95.0,100.0,1.0,0.3367655,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-06-09,2024-06-09,Sentinel-2,READY,85.0,100.0,0.24007,0.3656375,0.0,23.312,0.0,HIGH,DERIVED
hist-s2-2024-06-14,2024-06-14,Sentinel-2,READY,85.0,100.0,0.491205,0.3656375,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2024-06-14,2024-06-14,Sentinel-1,READY,95.0,100.0,1.0,0.491205,0.0,24.0,,HIGH,DERIVED
hist-s1-2024-06-18,2024-06-18,Sentinel-1,READY,95.0,100.0,1.0,0.482423,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-06-19,2024-06-19,Sentinel-2,READY,85.0,100.0,0.482423,0.482423,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2024-06-30,2024-06-30,Sentinel-1,READY,95.0,100.0,1.0,0.335349,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-07-04,2024-07-04,Sentinel-2,READY,85.0,100.0,0.188275,0.3501745,0.0,0.25,18.937,HIGH,DERIVED
hist-s2-2024-07-09,2024-07-09,Sentinel-2,READY,85.0,100.0,0.512074,0.3501745,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2024-07-12,2024-07-12,Sentinel-1,READY,95.0,100.0,1.0,0.506603,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-07-14,2024-07-14,Sentinel-2,READY,85.0,100.0,0.501132,0.501132,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2024-07-24,2024-07-24,Sentinel-1,READY,95.0,100.0,1.0,0.304993,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-07-29,2024-07-29,Sentinel-2,READY,85.0,100.0,0.108854,0.108854,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2024-08-01,2024-08-01,Sentinel-1,READY,95.0,100.0,1.0,0.140511,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-08-08,2024-08-08,Sentinel-2,READY,85.0,100.0,0.172168,0.185485,0.0,2.068,20.366,HIGH,DERIVED
hist-s2-2024-08-13,2024-08-13,Sentinel-2,READY,85.0,100.0,0.198802,0.185485,0.0,6.454,16.48,HIGH,DERIVED
hist-s1-2024-08-13,2024-08-13,Sentinel-1,READY,95.0,100.0,1.0,0.198802,0.0,24.0,,HIGH,DERIVED
hist-s1-2024-08-17,2024-08-17,Sentinel-1,READY,95.0,100.0,1.0,0.204795,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-08-18,2024-08-18,Sentinel-2,READY,85.0,100.0,0.204795,0.204795,0.0,5.813,16.313,HIGH,DERIVED
hist-s1-2024-08-25,2024-08-25,Sentinel-1,READY,95.0,100.0,1.0,0.1516875,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-08-28,2024-08-28,Sentinel-2,READY,85.0,100.0,0.09858,0.058588,0.0,0.0,24.0,HIGH,DERIVED
hist-s2-2024-09-02,2024-09-02,Sentinel-2,READY,85.0,100.0,0.018596,0.058588,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2024-09-06,2024-09-06,Sentinel-1,READY,95.0,100.0,1.0,0.0562205,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-09-07,2024-09-07,Sentinel-2,READY,85.0,100.0,0.093845,0.093845,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2024-09-10,2024-09-10,Sentinel-1,READY,95.0,100.0,1.0,0.074991,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-09-12,2024-09-12,Sentinel-2,READY,85.0,100.0,0.056137,0.056137,0.046875,3.437,18.5,HIGH,DERIVED
hist-s1-2024-09-18,2024-09-18,Sentinel-1,READY,95.0,100.0,1.0,0.056137,0.0,24.0,,HIGH,DERIVED
hist-s1-2024-09-22,2024-09-22,Sentinel-1,READY,95.0,100.0,1.0,-0.088951,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-09-27,2024-09-27,Sentinel-2,READY,85.0,100.0,-0.088951,-0.099107,0.544271,0.0,10.937,HIGH,DERIVED
hist-s2-2024-10-07,2024-10-07,Sentinel-2,READY,85.0,100.0,-0.109263,-0.099107,0.867188,0.0,3.187,HIGH,DERIVED
hist-s1-2024-10-12,2024-10-12,Sentinel-1,READY,95.0,100.0,1.0,-0.1215685,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-10-12,2024-10-12,Sentinel-2,READY,85.0,100.0,-0.133874,-0.133874,0.934896,0.0,1.562,HIGH,DERIVED
hist-s1-2024-10-16,2024-10-16,Sentinel-1,READY,95.0,100.0,1.0,-0.14763749999999998,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-10-17,2024-10-17,Sentinel-2,READY,85.0,100.0,-0.161401,-0.1445755,0.963542,0.0,0.875,HIGH,DERIVED
hist-s2-2024-10-22,2024-10-22,Sentinel-2,READY,85.0,100.0,-0.12775,-0.1445755,0.979167,0.0,0.5,HIGH,DERIVED
hist-s1-2024-10-24,2024-10-24,Sentinel-1,READY,95.0,100.0,1.0,-0.12775,0.0,24.0,,HIGH,DERIVED
hist-s1-2024-10-28,2024-10-28,Sentinel-1,READY,95.0,100.0,1.0,-0.159925,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-11-01,2024-11-01,Sentinel-2,READY,85.0,100.0,-0.159925,-0.159925,0.986945,0.0,0.313,HIGH,DERIVED
hist-s1-2024-11-05,2024-11-05,Sentinel-1,READY,95.0,100.0,1.0,-0.14413900000000002,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-11-11,2024-11-11,Sentinel-2,READY,85.0,100.0,-0.128353,-0.1166295,0.887728,0.0,2.695,HIGH,DERIVED
hist-s2-2024-11-16,2024-11-16,Sentinel-2,READY,85.0,100.0,-0.104906,-0.1166295,0.867188,0.0,3.187,HIGH,DERIVED
hist-s1-2024-11-17,2024-11-17,Sentinel-1,READY,95.0,100.0,1.0,-0.104906,0.0,24.0,,HIGH,DERIVED
hist-s1-2024-11-21,2024-11-21,Sentinel-1,READY,95.0,100.0,1.0,-0.036314,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-11-26,2024-11-26,Sentinel-2,READY,85.0,100.0,-0.036314,-0.036314,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2024-11-29,2024-11-29,Sentinel-1,READY,95.0,100.0,1.0,-0.006404499999999999,0.0,24.0,,HIGH,DERIVED
hist-s2-2024-12-01,2024-12-01,Sentinel-2,READY,85.0,100.0,0.023505,0.0342615,0.0,0.0,24.0,HIGH,DERIVED
hist-s2-2024-12-06,2024-12-06,Sentinel-2,READY,85.0,100.0,0.045018,0.0342615,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2024-12-11,2024-12-11,Sentinel-1,READY,95.0,100.0,1.0,0.045018,0.0,24.0,,HIGH,DERIVED
hist-s1-2024-12-15,2024-12-15,Sentinel-1,READY,95.0,100.0,0.578125,0.134929,0.036458,13.875,,HIGH,DERIVED
hist-s2-2024-12-16,2024-12-16,Sentinel-2,READY,85.0,100.0,0.134929,0.102799,0.0,4.687,17.875,HIGH,DERIVED
hist-s2-2024-12-21,2024-12-21,Sentinel-2,READY,85.0,100.0,0.070669,0.102799,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2024-12-23,2024-12-23,Sentinel-1,READY,95.0,100.0,1.0,0.070669,0.0,24.0,,HIGH,DERIVED
hist-s1-2024-12-27,2024-12-27,Sentinel-1,READY,95.0,100.0,1.0,,0.0,24.0,,HIGH,DERIVED
hist-s1-2025-01-04,2025-01-04,Sentinel-1,READY,95.0,100.0,1.0,0.206137,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-01-05,2025-01-05,Sentinel-2,READY,85.0,100.0,0.206137,0.206137,0.0,9.062,13.875,HIGH,DERIVED
hist-s1-2025-01-08,2025-01-08,Sentinel-1,READY,95.0,100.0,1.0,0.238317,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-01-10,2025-01-10,Sentinel-2,READY,85.0,100.0,0.270497,0.302054,0.0,12.533,11.091,HIGH,DERIVED
hist-s2-2025-01-15,2025-01-15,Sentinel-2,READY,85.0,100.0,0.333611,0.302054,0.0,14.75,7.687,HIGH,DERIVED
hist-s1-2025-01-16,2025-01-16,Sentinel-1,READY,95.0,100.0,1.0,0.4471715,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-01-25,2025-01-25,Sentinel-2,READY,85.0,100.0,0.560732,0.560732,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2025-01-28,2025-01-28,Sentinel-1,READY,95.0,100.0,1.0,0.560732,0.0,24.0,,HIGH,DERIVED
hist-s1-2025-02-01,2025-02-01,Sentinel-1,READY,95.0,100.0,1.0,-0.001776,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-02-04,2025-02-04,Sentinel-2,READY,85.0,100.0,-0.001776,0.3024415,0.0,0.0,24.0,HIGH,DERIVED
hist-s2-2025-02-09,2025-02-09,Sentinel-2,READY,85.0,100.0,0.606659,0.3024415,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2025-02-09,2025-02-09,Sentinel-1,READY,95.0,100.0,1.0,0.606659,0.0,24.0,,HIGH,DERIVED
hist-s1-2025-02-13,2025-02-13,Sentinel-1,READY,95.0,100.0,1.0,0.547509,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-02-14,2025-02-14,Sentinel-2,READY,85.0,100.0,0.547509,0.3030965,0.0,24.0,0.0,HIGH,DERIVED
hist-s2-2025-02-19,2025-02-19,Sentinel-2,READY,85.0,100.0,0.058684,0.3030965,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2025-02-25,2025-02-25,Sentinel-1,READY,95.0,100.0,1.0,0.33091,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-03-01,2025-03-01,Sentinel-2,READY,85.0,100.0,0.603136,0.603136,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2025-03-05,2025-03-05,Sentinel-1,READY,95.0,100.0,1.0,0.5767125,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-03-06,2025-03-06,Sentinel-2,READY,85.0,100.0,0.550289,0.550289,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2025-03-09,2025-03-09,Sentinel-1,READY,95.0,100.0,1.0,0.559185,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-03-11,2025-03-11,Sentinel-2,READY,85.0,100.0,0.568081,0.567687,0.0,24.0,0.0,HIGH,DERIVED
hist-s2-2025-03-16,2025-03-16,Sentinel-2,READY,85.0,100.0,0.567293,0.567687,0.0,24.0,0.0,HIGH,DERIVED
hist-s1-2025-03-21,2025-03-21,Sentinel-1,READY,95.0,100.0,1.0,0.567293,0.0,24.0,,HIGH,DERIVED
hist-s1-2025-03-29,2025-03-29,Sentinel-1,READY,95.0,100.0,1.0,,0.0,24.0,,HIGH,DERIVED
hist-s1-2025-04-02,2025-04-02,Sentinel-1,READY,95.0,100.0,1.0,0.247043,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-04-05,2025-04-05,Sentinel-2,READY,85.0,100.0,0.247043,0.247043,0.0,13.375,8.437,HIGH,DERIVED
hist-s1-2025-04-10,2025-04-10,Sentinel-1,READY,95.0,100.0,1.0,0.247043,0.0,24.0,,HIGH,DERIVED
hist-s1-2025-04-20,2025-04-20,Sentinel-1,READY,95.0,100.0,1.0,0.053024,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-04-20,2025-04-20,Sentinel-2,READY,85.0,100.0,0.053024,0.0567815,0.0,0.0,24.0,HIGH,DERIVED
hist-s2-2025-04-25,2025-04-25,Sentinel-2,READY,85.0,100.0,0.060539,0.0567815,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2025-04-26,2025-04-26,Sentinel-1,READY,95.0,100.0,1.0,0.055452,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-04-30,2025-04-30,Sentinel-2,READY,85.0,100.0,0.050365,0.050365,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2025-05-04,2025-05-04,Sentinel-1,READY,95.0,100.0,1.0,0.052513500000000005,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-05-05,2025-05-05,Sentinel-2,READY,85.0,100.0,0.054662,0.054662,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2025-05-08,2025-05-08,Sentinel-1,READY,95.0,100.0,1.0,0.047951,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-05-10,2025-05-10,Sentinel-2,READY,85.0,100.0,0.04124,0.04124,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2025-05-14,2025-05-14,Sentinel-1,READY,95.0,100.0,1.0,0.0329065,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-05-17,2025-05-17,Sentinel-2,READY,85.0,100.0,0.024573,0.0234525,0.0,0.0,24.0,HIGH,DERIVED
hist-s2-2025-05-20,2025-05-20,Sentinel-2,READY,85.0,100.0,0.022332,0.0234525,0.020888,0.0,23.373,HIGH,DERIVED
hist-s1-2025-05-26,2025-05-26,Sentinel-1,READY,95.0,100.0,1.0,0.022332,0.0,24.0,,HIGH,DERIVED
hist-s1-2025-06-01,2025-06-01,Sentinel-1,READY,95.0,100.0,1.0,0.288397,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-06-04,2025-06-04,Sentinel-2,READY,85.0,100.0,0.288397,0.24630200000000002,0.0,13.937,9.937,HIGH,DERIVED
hist-s2-2025-06-06,2025-06-06,Sentinel-2,READY,85.0,100.0,0.204207,0.24630200000000002,0.0,6.329,10.903,HIGH,DERIVED
hist-s1-2025-06-07,2025-06-07,Sentinel-1,READY,95.0,100.0,1.0,0.2821715,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-06-09,2025-06-09,Sentinel-2,READY,85.0,100.0,0.360136,0.360136,0.0,16.875,6.75,HIGH,DERIVED
hist-s1-2025-06-13,2025-06-13,Sentinel-1,READY,95.0,100.0,1.0,0.360136,0.0,24.0,,HIGH,DERIVED
hist-s1-2025-06-25,2025-06-25,Sentinel-1,READY,95.0,100.0,1.0,0.401821,0.0,24.0,,HIGH,DERIVED
hist-s2-2025-06-29,2025-06-29,Sentinel-2,READY,85.0,100.0,0.401821,0.401821,0.0,24.0,0.0,HIGH,DERIVED
